02.12.2012 23:37:37   A1  0,0  A2  0,0  D1  0,0  D2  0,0
03.12.2012 01:23:46 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:47 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:54 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:55 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:23:56 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:06 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:14 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:15 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:16 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:17 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:18 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:19 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:20 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:24 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:25 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:26 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:27 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:28 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:29 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:30 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:31 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:32 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:33 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:34 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:55 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:56 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:57 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:58 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:24:59 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:00 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
